session_num,participant,timestamp,engagement,of_AU01_c,of_AU02_c,of_AU04_c,of_AU05_c,of_AU06_c,of_AU07_c,of_AU09_c,of_AU10_c,of_AU12_c,of_AU14_c,of_AU15_c,of_AU17_c,of_AU20_c,of_AU23_c,of_AU25_c,of_AU26_c,of_AU28_c,of_AU45_c,of_gaze_0_x,of_gaze_0_y,of_gaze_0_z,of_gaze_1_x,of_gaze_1_y,of_gaze_1_z,of_gaze_angle_x,of_gaze_angle_y,of_pose_Tx,of_pose_Ty,of_pose_Tz,of_pose_Rx,of_pose_Ry,of_pose_Rz
0,1,0,    1.0000,    1.0000,    1.0000,    0.0000,    1.0000,    1.0000,    0.0000,    0.0000,    1.0000,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,  -15.8373,  -50.4985,  853.9241,   -0.3828,    1.3488,    1.5266
0,1,0,    1.0000,    1.0000,    1.0000,    0.0000,    1.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,  -15.0393,  -53.2696,  814.0118,   -0.6271,    1.0315,    1.3706
0,1,0,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    1.0000,    0.0000,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,  -16.3117,  -59.4163,  871.6567,   -0.1887,    0.9363,    1.6080
0,1,0,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,    1.0000,    1.0000,    0.0000,    1.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    1.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,  -14.8186,  -61.9233,  912.7021,   -0.0195,    0.9076,    1.6487
0,1,0,    1.0000,    1.0000,    1.0000,    0.0000,    1.0000,    1.0000,    1.0000,    0.0000,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    1.0000,    1.0000,    0.0000,    0.0000,  -40.9551,  -95.1879,  842.3660,    5.6610, -102.0512,  868.8174,    0.3913,    0.1015,  -16.0415,  -62.6372,  932.4596,    0.0899,    0.9670,    1.6916
0,1,0,    1.0000,    1.0000,    1.0000,    0.0000,    1.0000,    1.0000,    1.0000,    0.0000,    1.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,  -14.5650,  -64.8186,  890.9925,    0.2426,    0.9451,    1.7086
0,1,0,    1.0000,    1.0000,    1.0000,    0.0000,    1.0000,    1.0000,    1.0000,    0.0000,    1.0000,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,  -38.9738,  -88.3317,  758.6643,    9.2488,  -91.6681,  765.6156,    0.2003,    0.0883,  -14.4416,  -66.6190,  935.4489,    0.2332,    1.2970,    1.8521
0,1,0,    1.0000,    0.0000,    1.0000,    0.0000,    1.0000,    1.0000,    1.0000,    0.0000,    1.0000,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,  -36.9202,  -86.7211,  761.4666,   12.8853,  -88.9935,  759.5673,    0.1547,    0.1544,  -11.3553,  -64.7208,  923.7794,    0.2114,    1.3730,    1.8938
0,1,0,    1.0000,    0.0000,    1.0000,    0.0000,    1.0000,    1.0000,    1.0000,    0.0000,    1.0000,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,  -32.2046,  -87.3140,  748.4923,   18.1631,  -88.6634,  739.3406,    0.1447,    0.1914,   -5.1799,  -62.5038,  887.5282,    0.1429,    1.3872,    1.8903
0,1,0,    1.0000,    1.0000,    1.0000,    0.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,    0.0000,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,  -35.5648,  -81.3774,  718.5930,   16.2857,  -82.6629,  704.6639,    0.0586,    0.2429,   -8.9135,  -57.5319,  861.5376,    0.7982,    1.5029,    2.6124
